,airport1,start_lat,start_lon,airport2,end_lat,end_lon,airline
58,Abu Dhabi Intl,54.651138,24.432972,Allama Iqbal Intl,74.403594,31.521564,American Airlines
59,Abu Dhabi Intl,54.651138,24.432972,Heathrow,-0.46138900000000005,51.4775,American Airlines
60,Abu Dhabi Intl,54.651138,24.432972,Seeb Intl,58.28444399999999,23.593278,American Airlines
61,Abu Dhabi Intl,54.651138,24.432972,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
62,Austin Bergstrom Intl,-97.669889,30.194528000000002,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
63,Austin Bergstrom Intl,-97.669889,30.194528000000002,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
64,Austin Bergstrom Intl,-97.669889,30.194528000000002,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
65,Austin Bergstrom Intl,-97.669889,30.194528000000002,Los Angeles Intl,-118.408075,33.942536,American Airlines
66,Austin Bergstrom Intl,-97.669889,30.194528000000002,Heathrow,-0.46138900000000005,51.4775,American Airlines
67,Austin Bergstrom Intl,-97.669889,30.194528000000002,Louis Armstrong New Orleans Intl,-90.258028,29.993389,American Airlines
68,Austin Bergstrom Intl,-97.669889,30.194528000000002,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
69,Austin Bergstrom Intl,-97.669889,30.194528000000002,Philadelphia Intl,-75.241139,39.871944,American Airlines
70,Austin Bergstrom Intl,-97.669889,30.194528000000002,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
71,Asheville Regional Airport,-82.54180600000001,35.436194,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
72,Wilkes Barre Scranton Intl,-75.723403,41.338478,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
73,Wilkes Barre Scranton Intl,-75.723403,41.338478,Philadelphia Intl,-75.241139,39.871944,American Airlines
74,Kalamazoo,-85.552058,42.234875,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
75,Bahrain Intl,50.63361,26.270834000000004,Doha Intl,51.565056,25.261125,American Airlines
76,Bahrain Intl,50.63361,26.270834000000004,Heathrow,-0.46138900000000005,51.4775,American Airlines
77,Barcelona,2.078464,41.297078000000006,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
78,Barcelona,2.078464,41.297078000000006,Heathrow,-0.46138900000000005,51.4775,American Airlines
79,Barcelona,2.078464,41.297078000000006,Miami Intl,-80.29055600000001,25.79325,American Airlines
80,Barcelona,2.078464,41.297078000000006,Philadelphia Intl,-75.241139,39.871944,American Airlines
81,Bermuda Intl,-64.678703,32.364042,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
82,Bermuda Intl,-64.678703,32.364042,Miami Intl,-80.29055600000001,25.79325,American Airlines
83,Bermuda Intl,-64.678703,32.364042,Philadelphia Intl,-75.241139,39.871944,American Airlines
84,Bradley Intl,-72.683222,41.938889,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
85,Bradley Intl,-72.683222,41.938889,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
86,Bradley Intl,-72.683222,41.938889,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
87,Bradley Intl,-72.683222,41.938889,Los Angeles Intl,-118.408075,33.942536,American Airlines
88,Bradley Intl,-72.683222,41.938889,Miami Intl,-80.29055600000001,25.79325,American Airlines
89,Bradley Intl,-72.683222,41.938889,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
90,Bradley Intl,-72.683222,41.938889,Philadelphia Intl,-75.241139,39.871944,American Airlines
91,Bradley Intl,-72.683222,41.938889,Pittsburgh Intl,-80.232872,40.491467,American Airlines
92,Meadows Fld,-119.05677,35.433597999999996,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
93,Grantley Adams Intl,-59.492456000000004,13.074603,Miami Intl,-80.29055600000001,25.79325,American Airlines
94,Greater Binghamton Edwin A Link Fld,-75.979839,42.208689,Philadelphia Intl,-75.241139,39.871944,American Airlines
95,Flesland,5.218141999999999,60.293386,Heathrow,-0.46138900000000005,51.4775,American Airlines
96,Bangor Intl,-68.82813900000001,44.807444,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
97,Bangor Intl,-68.82813900000001,44.807444,Philadelphia Intl,-75.241139,39.871944,American Airlines
98,Belfast City,-5.8725,54.618056,Heathrow,-0.46138900000000005,51.4775,American Airlines
99,Birmingham Intl,-86.75355,33.562942,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
100,Birmingham Intl,-86.75355,33.562942,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
101,Birmingham Intl,-86.75355,33.562942,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
102,Birmingham Intl,-86.75355,33.562942,Miami Intl,-80.29055600000001,25.79325,American Airlines
103,Birmingham Intl,-86.75355,33.562942,Philadelphia Intl,-75.241139,39.871944,American Airlines
104,Banjul Intl,-16.652206,13.337960999999998,Leopold Sedar Senghor Intl,-17.490225,14.739707999999998,American Airlines
105,Guanajuato Intl,-101.480847,20.993464000000003,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
106,Suvarnabhumi Intl,100.747283,13.681107999999998,Kuala Lumpur Intl,101.709917,2.745578,American Airlines
107,Suvarnabhumi Intl,100.747283,13.681107999999998,Narita Intl,140.38638899999998,35.764722,American Airlines
108,Bologna,11.288667,44.535444,Heathrow,-0.46138900000000005,51.4775,American Airlines
109,Bangalore,77.66820600000001,12.949986,Heathrow,-0.46138900000000005,51.4775,American Airlines
110,Central Illinois Rgnl,-88.91591700000001,40.477111,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
111,Central Illinois Rgnl,-88.91591700000001,40.477111,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
112,Nashville Intl,-86.67819399999999,36.124472,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
113,Nashville Intl,-86.67819399999999,36.124472,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
114,Nashville Intl,-86.67819399999999,36.124472,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
115,Nashville Intl,-86.67819399999999,36.124472,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
116,Nashville Intl,-86.67819399999999,36.124472,Los Angeles Intl,-118.408075,33.942536,American Airlines
117,Nashville Intl,-86.67819399999999,36.124472,La Guardia,-73.872608,40.777245,American Airlines
118,Nashville Intl,-86.67819399999999,36.124472,Miami Intl,-80.29055600000001,25.79325,American Airlines
119,Nashville Intl,-86.67819399999999,36.124472,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
120,Nashville Intl,-86.67819399999999,36.124472,Philadelphia Intl,-75.241139,39.871944,American Airlines
121,Brisbane Intl,153.1175,-27.384166999999998,Adelaide Intl,138.53055600000002,-34.945,American Airlines
122,Brisbane Intl,153.1175,-27.384166999999998,Auckland Intl,174.791667,-37.008055999999996,American Airlines
123,Brisbane Intl,153.1175,-27.384166999999998,Canberra,149.195,-35.306944,American Airlines
124,Brisbane Intl,153.1175,-27.384166999999998,Cairns Intl,145.755278,-16.885832999999998,American Airlines
125,Brisbane Intl,153.1175,-27.384166999999998,Darwin Intl,130.87266,-12.4083333,American Airlines
126,Brisbane Intl,153.1175,-27.384166999999998,Los Angeles Intl,-118.408075,33.942536,American Airlines
127,Brisbane Intl,153.1175,-27.384166999999998,Melbourne Intl,144.843333,-37.673333,American Airlines
128,Brisbane Intl,153.1175,-27.384166999999998,Perth Intl,115.966944,-31.940278000000003,American Airlines
129,Brisbane Intl,153.1175,-27.384166999999998,Sydney Intl,151.177222,-33.946111,American Airlines
130,Brisbane Intl,153.1175,-27.384166999999998,Townsville,146.765278,-19.2525,American Airlines
131,Eldorado Intl,-74.146947,4.701594,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
132,Eldorado Intl,-74.146947,4.701594,Miami Intl,-80.29055600000001,25.79325,American Airlines
133,Boise Air Terminal,-116.22286100000001,43.564361,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
134,Chhatrapati Shivaji Intl,72.867919,19.088686,Heathrow,-0.46138900000000005,51.4775,American Airlines
135,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Buffalo Niagara Intl,-78.732167,42.940525,American Airlines
136,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
137,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Cancun Intl,-86.877083,21.036528,American Airlines
138,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
139,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
140,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
141,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Los Angeles Intl,-118.408075,33.942536,American Airlines
142,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,La Guardia,-73.872608,40.777245,American Airlines
143,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Heathrow,-0.46138900000000005,51.4775,American Airlines
144,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Barajas,-3.566764,40.493556,American Airlines
145,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Harrisburg Intl,-76.763403,40.193494,American Airlines
146,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Miami Intl,-80.29055600000001,25.79325,American Airlines
147,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Narita Intl,140.38638899999998,35.764722,American Airlines
148,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
149,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Portland Intl,-122.5975,45.588722,American Airlines
150,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Philadelphia Intl,-75.241139,39.871944,American Airlines
151,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
152,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Pittsburgh Intl,-80.232872,40.491467,American Airlines
153,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Richmond Intl,-77.31966700000001,37.505167,American Airlines
154,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Greater Rochester Intl,-77.672389,43.118866,American Airlines
155,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,San Diego Intl,-117.18966699999999,32.733556,American Airlines
156,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Seattle Tacoma Intl,-122.309306,47.449,American Airlines
157,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,Syracuse Hancock Intl,-76.106311,43.111187,American Airlines
158,Southeast Texas Rgnl,-94.02069399999999,29.950833000000003,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
159,Brownsville South Padre Island Intl,-97.425861,25.906833,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
160,Brussels Natl,4.484444,50.901389,Heathrow,-0.46138900000000005,51.4775,American Airlines
161,Brussels Natl,4.484444,50.901389,Philadelphia Intl,-75.241139,39.871944,American Airlines
162,Presidente Juscelino Kubitschek,-47.918625,-15.8711,Miami Intl,-80.29055600000001,25.79325,American Airlines
163,EuroAirport Basel-Mulhouse-Freiburg,7.529167,47.59,Heathrow,-0.46138900000000005,51.4775,American Airlines
164,Baton Rouge Metro Ryan Fld,-91.14963900000001,30.533167,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
165,Baton Rouge Metro Ryan Fld,-91.14963900000001,30.533167,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
166,Burlington Intl,-73.153278,44.471861,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
167,Burlington Intl,-73.153278,44.471861,Philadelphia Intl,-75.241139,39.871944,American Airlines
168,Ferihegy,19.255592,47.436933,Heathrow,-0.46138900000000005,51.4775,American Airlines
169,Buffalo Niagara Intl,-78.732167,42.940525,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,American Airlines
170,Buffalo Niagara Intl,-78.732167,42.940525,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
171,Buffalo Niagara Intl,-78.732167,42.940525,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
172,Buffalo Niagara Intl,-78.732167,42.940525,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
173,Buffalo Niagara Intl,-78.732167,42.940525,Philadelphia Intl,-75.241139,39.871944,American Airlines
174,Bob Hope,-118.358667,34.200666999999996,Portland Intl,-122.5975,45.588722,American Airlines
175,Bob Hope,-118.358667,34.200666999999996,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
176,Bob Hope,-118.358667,34.200666999999996,Seattle Tacoma Intl,-122.309306,47.449,American Airlines
177,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
178,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
179,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
180,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Heathrow,-0.46138900000000005,51.4775,American Airlines
181,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Miami Intl,-80.29055600000001,25.79325,American Airlines
182,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
183,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Philadelphia Intl,-75.241139,39.871944,American Airlines
184,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,Phoenix Sky Harbor Intl,-112.011583,33.434278000000006,American Airlines
185,Philip S W Goldson Intl,-88.308203,17.539144,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
186,Philip S W Goldson Intl,-88.308203,17.539144,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
187,Philip S W Goldson Intl,-88.308203,17.539144,Miami Intl,-80.29055600000001,25.79325,American Airlines
188,Columbia Metropolitan,-81.119528,33.938833,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
189,Columbia Metropolitan,-81.119528,33.938833,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
190,Columbia Metropolitan,-81.119528,33.938833,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
191,Columbia Metropolitan,-81.119528,33.938833,Philadelphia Intl,-75.241139,39.871944,American Airlines
192,Akron Canton Regional Airport,-81.4421944,40.9160833,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
193,Akron Canton Regional Airport,-81.4421944,40.9160833,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
194,Akron Canton Regional Airport,-81.4421944,40.9160833,Philadelphia Intl,-75.241139,39.871944,American Airlines
195,Canberra,149.195,-35.306944,Brisbane Intl,153.1175,-27.384166999999998,American Airlines
196,Canberra,149.195,-35.306944,Melbourne Intl,144.843333,-37.673333,American Airlines
197,Canberra,149.195,-35.306944,Sydney Intl,151.177222,-33.946111,American Airlines
198,Simon Bolivar Intl,-66.990583,10.603117,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
199,Simon Bolivar Intl,-66.990583,10.603117,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
200,Simon Bolivar Intl,-66.990583,10.603117,Miami Intl,-80.29055600000001,25.79325,American Airlines
201,Simon Bolivar Intl,-66.990583,10.603117,Luis Munoz Marin Intl,-66.00183299999999,18.439417000000002,American Airlines
202,Charles De Gaulle,2.55,49.012778999999995,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
203,Charles De Gaulle,2.55,49.012778999999995,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
204,Charles De Gaulle,2.55,49.012778999999995,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
205,Charles De Gaulle,2.55,49.012778999999995,Kuala Lumpur Intl,101.709917,2.745578,American Airlines
206,Charles De Gaulle,2.55,49.012778999999995,Heathrow,-0.46138900000000005,51.4775,American Airlines
207,Charles De Gaulle,2.55,49.012778999999995,Miami Intl,-80.29055600000001,25.79325,American Airlines
208,Charles De Gaulle,2.55,49.012778999999995,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
209,Charles De Gaulle,2.55,49.012778999999995,Philadelphia Intl,-75.241139,39.871944,American Airlines
210,Lovell Fld,-85.203808,35.035278000000005,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
211,Lovell Fld,-85.203808,35.035278000000005,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
212,Lovell Fld,-85.203808,35.035278000000005,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
213,Lovell Fld,-85.203808,35.035278000000005,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
214,Christchurch Intl,172.532225,-43.489358,Sydney Intl,151.177222,-33.946111,American Airlines
215,Charlottesville-Albemarle,-78.452861,38.138639000000005,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
216,Charlottesville-Albemarle,-78.452861,38.138639000000005,La Guardia,-73.872608,40.777245,American Airlines
217,Charlottesville-Albemarle,-78.452861,38.138639000000005,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
218,Charlottesville-Albemarle,-78.452861,38.138639000000005,Philadelphia Intl,-75.241139,39.871944,American Airlines
219,Charleston Afb Intl,-80.04052800000001,32.898647,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
220,Charleston Afb Intl,-80.04052800000001,32.898647,Ronald Reagan Washington Natl,-77.037722,38.852083,American Airlines
221,Charleston Afb Intl,-80.04052800000001,32.898647,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
222,Charleston Afb Intl,-80.04052800000001,32.898647,Miami Intl,-80.29055600000001,25.79325,American Airlines
223,Charleston Afb Intl,-80.04052800000001,32.898647,Philadelphia Intl,-75.241139,39.871944,American Airlines
224,Cedar Rapids,-91.710806,41.884694,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
225,Cedar Rapids,-91.710806,41.884694,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
226,Cleveland Hopkins Intl,-81.84979399999999,41.411689,Charlotte Douglas Intl,-80.943139,35.214,American Airlines
227,Cleveland Hopkins Intl,-81.84979399999999,41.411689,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
228,Cleveland Hopkins Intl,-81.84979399999999,41.411689,John F Kennedy Intl,-73.778925,40.639751000000004,American Airlines
229,Cleveland Hopkins Intl,-81.84979399999999,41.411689,Miami Intl,-80.29055600000001,25.79325,American Airlines
230,Cleveland Hopkins Intl,-81.84979399999999,41.411689,Chicago Ohare Intl,-87.904842,41.978603,American Airlines
231,Cleveland Hopkins Intl,-81.84979399999999,41.411689,Philadelphia Intl,-75.241139,39.871944,American Airlines
232,Easterwood Fld,-96.363833,30.588583,Dallas Fort Worth Intl,-97.037997,32.896828,American Airlines
233,Alfonso Bonilla Aragon Intl,-76.38158299999999,3.543222,Miami Intl,-80.29055600000001,25.79325,American Airlines
234,Charlotte Douglas Intl,-80.943139,35.214,Lehigh Valley Intl,-75.44080600000001,40.652083000000005,American Airlines
235,Charlotte Douglas Intl,-80.943139,35.214,Augusta Rgnl At Bush Fld,-81.9645,33.369944,American Airlines
236,Charlotte Douglas Intl,-80.943139,35.214,Albany Intl,-73.801692,42.748267,American Airlines
237,Charlotte Douglas Intl,-80.943139,35.214,V C Bird Intl,-61.792667,17.136749,American Airlines
238,Charlotte Douglas Intl,-80.943139,35.214,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,American Airlines
239,Charlotte Douglas Intl,-80.943139,35.214,Reina Beatrix Intl,-70.015221,12.501389,American Airlines
240,Charlotte Douglas Intl,-80.943139,35.214,Austin Bergstrom Intl,-97.669889,30.194528000000002,American Airlines
241,Charlotte Douglas Intl,-80.943139,35.214,Asheville Regional Airport,-82.54180600000001,35.436194,American Airlines
242,Charlotte Douglas Intl,-80.943139,35.214,Wilkes Barre Scranton Intl,-75.723403,41.338478,American Airlines
243,Charlotte Douglas Intl,-80.943139,35.214,Bradley Intl,-72.683222,41.938889,American Airlines
244,Charlotte Douglas Intl,-80.943139,35.214,Birmingham Intl,-86.75355,33.562942,American Airlines
245,Charlotte Douglas Intl,-80.943139,35.214,Nashville Intl,-86.67819399999999,36.124472,American Airlines
246,Charlotte Douglas Intl,-80.943139,35.214,General Edward Lawrence Logan Intl,-71.00518100000001,42.364346999999995,American Airlines
247,Charlotte Douglas Intl,-80.943139,35.214,Baton Rouge Metro Ryan Fld,-91.14963900000001,30.533167,American Airlines
248,Charlotte Douglas Intl,-80.943139,35.214,Buffalo Niagara Intl,-78.732167,42.940525,American Airlines
249,Charlotte Douglas Intl,-80.943139,35.214,Baltimore Washington Intl,-76.66833299999999,39.175360999999995,American Airlines
250,Charlotte Douglas Intl,-80.943139,35.214,Philip S W Goldson Intl,-88.308203,17.539144,American Airlines
251,Charlotte Douglas Intl,-80.943139,35.214,Columbia Metropolitan,-81.119528,33.938833,American Airlines
252,Charlotte Douglas Intl,-80.943139,35.214,Akron Canton Regional Airport,-81.4421944,40.9160833,American Airlines
